Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2150       3014       0          2091       1.40
structure_refs      216        59         0          1          0.27
biomes              216        35         0          26         0.16
terrain             216        346        0          11         1.60
surface             216        162        0          2          0.75
air_carvers         216        1236       2          67         5.72
fluid_carvers       216        2          0          0          0.01
decoration          94         398        1          53         4.23
mob_spawns          0          0          0          0          0.00
structure_searches  227        7811       13         264        34.41
Sum                                                             48.56
